time_wall,time_perf,arrival_perf,rel_time,can_id,dlc,data
1778594555.003301,1867118.695009,1867118.693652,23.507693,0x39,3,00 00 2A
1778594555.003467,1867118.695175,1867118.693671,23.507859,0x320,8,00 00 00 00 00 00 00 21
1778594555.003525,1867118.695233,1867118.693672,23.507917,0x324,8,7E 71 42 6D 00 23 80 2A
1778594555.003599,1867118.695307,1867118.693674,23.507992,0x328,8,00 00 00 00 00 80 00 5E
1778594555.003643,1867118.695351,1867118.693675,23.508035,0x3D7,8,B0 00 00 00 00 00 00 15
1778594555.003669,1867118.695378,1867118.693676,23.508062,0x400,5,00 00 00 00 22
1778594555.003695,1867118.695403,1867118.693678,23.508087,0x403,5,00 00 02 00 2D
1778594555.003722,1867118.695430,1867118.693679,23.508114,0x40C,8,25 00 00 00 00 00 00 2F
1778594555.003749,1867118.695457,1867118.693680,23.508141,0x40F,8,35 00 00 00 00 00 00 2B
1778594555.003787,1867118.695495,1867118.693682,23.508179,0x454,8,00 F7 02 00 00 00 60 2B
1778594555.003815,1867118.695523,1867118.693683,23.508207,0x465,8,00 00 00 00 00 00 03 24
1778594555.003925,1867118.695633,1867118.693696,23.508318,0x45B,2,00 22
1778594555.004142,1867118.695850,1867118.693721,23.508534,0x309,8,00 00 00 00 04 5D 00 42
1778594555.004223,1867118.695931,1867118.693723,23.508615,0x374,7,55 00 00 00 00 00 00
1778594555.004295,1867118.696003,1867118.693726,23.508688,0x37B,8,30 00 00 20 00 00 00 0E
1778594555.004360,1867118.696069,1867118.693728,23.508753,0x396,7,00 00 3A 55 00 00 0F
1778594555.004395,1867118.696103,1867118.693730,23.508788,0x372,2,20 0A
1778594555.085028,1867118.776736,1867118.708825,23.589421,0x91,8,98 33 88 92 09 00 00 21
1778594555.085131,1867118.776839,1867118.708833,23.589524,0x130,8,00 D5 00 BE 11 00 04 03
1778594555.189449,1867118.881158,1867118.880940,23.693842,0x156,6,0C 54 00 46 07 06
1778594555.189547,1867118.881255,1867118.880955,23.693939,0x158,8,04 3B 00 00 04 31 19 06
1778594555.189610,1867118.881318,1867118.880957,23.694002,0x17C,8,11 00 04 DF 80 00 00 0A
1778594555.189685,1867118.881393,1867118.880959,23.694077,0x191,8,08 00 80 86 8B 04 7F 02
1778594555.189777,1867118.881485,1867118.880960,23.694169,0x1DC,7,02 04 DF 00 00 00 2A
